1,7,3
1,14,1
1,29,2
2,3,1
2,22,2
3,17,1
3,4,2
4,5,1
4,12,3
5,1,2
6,18,1
6,9,2
7,7,4
8,10,1
8,25,2
9,14,1
10,30,1
11,13,2
11,27,1
12,4,1
12,19,2
13,8,1
14,16,3
15,12,1
15,5,1
16,9,1
17,13,1
18,26,2
18,7,1
19,22,3
20,3,2
21,18,1
21,29,1
22,11,4
23,1,1
23,21,1
24,7,2
25,4,1
26,28,2
26,16,1
27,12,2
28,30,1
28,6,1
29,14,1
30,3,3
31,9,2
31,19,1
32,25,1
33,17,2
34,10,1
35,2,1
36,11,1
37,5,1
38,13,1
38,8,2
39,23,1
40,4,2
40,27,1
41,14,1
42,12,1
43,6,1
44,16,1
45,18,1
46,20,1
47,7,3
48,21,1
48,30,2
49,5,1
50,14,2
51,11,1
52,19,1
53,1,1
54,26,1
55,29,1
55,22,2
56,7,1
57,4,1
58,18,2
59,20,3
60,2,1
61,13,1
62,23,1
63,16,1
63,11,2
64,8,1
65,6,1
66,17,1
67,25,2
68,28,1
69,3,1
70,30,1
70,18,2
71,9,1
72,12,1
73,4,1
74,14,3
75,7,1
76,24,1
77,15,1
78,10,1
79,29,2
80,6,1
81,17,1
82,21,1
83,8,1
84,27,1
85,3,2
86,12,1
87,18,1
88,10,2
89,4,1
90,14,2
91,5,1
92,7,1
93,1,1
94,22,1
95,16,1
96,30,1
97,25,1
98,11,1
99,6,1
100,9,1
